time,Iter,max_score
0.00037037,10,-28.25
0.000659722,20,-28.00
0.001064815,30,-28.68
0.001365741,40,-27.68
0.001666667,50,-28.56
0.002037037,60,-27.87
0.002337963,70,-28.00
0.002638889,80,-27.37
0.002928241,90,-26.75
0.003229167,100,-27.50
0.003576389,110,-27.68
0.003877315,120,-25.06
0.004189815,130,-27.37
0.004502315,140,-26.87
0.004814815,150,-26.50
0.005138889,160,-26.31
0.005451389,170,-26.18
0.005787037,180,-25.87
0.006122685,190,-25.87
0.006412037,200,-24.06
0.006712963,210,-23.43
0.006990741,220,-20.75
0.007291667,230,-19.62
0.007592593,240,-17.68
