time,Iter,max_score_1,max_score_2,max_score_3
0:00:13,10,,,-28.68
0:00:20,20,,,-27.31
0:00:25,10,-25.62,,
0:00:25,10,,-28.25,
0:00:26,30,,,-27.62
0:00:33,40,,,-25.87
0:00:36,20,-25.62,,
0:00:36,20,,-28,
0:00:39,50,,,-25.5
0:00:47,30,-21.25,,
0:00:47,30,,-28.68,
0:00:53,60,,,-26.12
0:00:58,40,-18.56,,
0:00:58,40,,-27.68,
0:01:00,70,,,-25.62
0:01:06,80,,,-25.93
0:01:09,50,-18,,
0:01:09,50,,-28.56,
0:01:13,90,,,-22.87
0:01:19,100,,,-20.68
0:01:25,110,,,-21.37
0:01:32,120,,,-20.81
0:01:33,60,-11.68,,
0:01:33,60,,-27.87,
0:01:38,130,,,-17.81
0:01:43,70,-16.87,,
0:01:43,70,,-28,
0:01:45,140,,,-16.68
0:01:51,150,,,-10.18
0:01:55,80,-13.93,,
0:01:55,80,,-27.37,
0:01:58,160,,,-14.18
0:02:05,170,,,-8.75
0:02:07,90,-10.25,,
0:02:07,90,,-26.75,
0:02:12,180,,,-8.937
0:02:19,100,-12.56,,
0:02:19,100,,-27.5,
0:02:19,190,,,-8.5
0:02:25,200,,,-6.937
0:02:32,210,,,-4.687
0:02:33,110,-13.18,,
0:02:33,110,,-27.68,
0:02:38,220,,,-3.875
0:02:45,230,,,-2.812
0:02:46,120,-8.437,,
0:02:46,120,,-25.06,
0:02:51,240,,,-1.812
0:02:58,130,-8.625,,
0:02:58,130,,-27.37,
0:03:09,140,-11.31,,
0:03:09,140,,-26.87,
0:03:20,150,-8,,
0:03:20,150,,-26.5,
0:03:33,160,-9.687,,
0:03:33,160,,-26.31,
0:03:47,170,-8.187,,
0:03:47,170,,-26.18,
0:04:00,180,-7.187,,
0:04:00,180,,-25.87,
0:04:14,190,-3.562,,
0:04:14,190,,-25.87,
0:04:27,200,-5.562,,
0:04:27,200,,-24.06,
0:04:41,210,-5.187,,
0:04:41,210,,-23.43,
0:04:52,220,-3.437,,
0:04:52,220,,-20.75,
0:05:04,230,-3.5,,
0:05:04,230,,-19.62,
0:05:16,240,-4.125,,
0:05:16,240,,-17.68,
